kit_id,transect_location,latitude,longitude,elevation_m,collection_time_utc,macrophytes_algae,systemtype,volume_ml,notes,soil_type,rotten_egg_smell,color,soil_horizon,ecosystem_code_IGBP,elevation_flag
K007,transition,41.37591,-82.5064,176,07:00:00,NA,NA,NA,NA,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",NA,NA,Mineral,NA,NA
K007,upland,41.3762,-82.50666,181,06:00:00,NA,NA,NA,NA,"Zurich silt loam, 25 to 40 percent slopes (ZuF)",NA,NA,Mineral,4,NA
K008,water,41.3824,-82.5147,173.26,15:20:00,None,Lacestuary,390,NA,NA,NA,NA,NA,NA,NA
K008,sediment,41.3824,-82.5147,173.26,15:50:00,NA,NA,NA,NA,Water (W),No,Dark Chocolate,NA,NA,NA
K008,wetland,41.3826,-82.5148,175.03,15:05:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,NA,NA
K008,transition,41.3827,-82.515,176.01,14:46:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,NA,NA
K008,upland,41.3827,-82.515,176.01,14:57:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,5,NA
K009,water,41.3754,-82.5164,174.49,18:38:00,Macrophytes,Lacestuary,175,NA,NA,NA,NA,NA,NA,NA
K009,sediment,41.3754,-82.5164,174.49,18:57:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",No,Dark Chocolate,NA,NA,NA
K009,wetland,41.3746,-82.5167,174.87,19:40:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,NA,NA
K009,transition,41.3745,-82.5169,176.16,19:55:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,NA,NA
K009,upland,41.3747,-82.517,177.71,20:00:00,NA,NA,NA,NA,"Zurich silt loam, 12 to 18 percent slopes, eroded (ZuD2)",NA,NA,Organic,5,NA
K010,water,41.3734,-82.5091,173.26,18:39:00,Macrophytes,Lacestuary,302,NA,NA,NA,NA,NA,NA,NA
K010,sediment,41.3733,-82.5092,173.26,18:58:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",No,Dark Chocolate,NA,NA,NA
K010,wetland,41.3731,-82.5083,174.56,17:49:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,NA,NA
K010,transition,41.3731,-82.5076,175.38,18:05:00,NA,NA,NA,NA,"Zurich silt loam, 18 to 25 percent slopes, eroded (ZuE2)",NA,NA,Organic,NA,NA
K010,upland,41.3732,-82.5075,177.47,18:17:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,Organic,4,NA
K011,water,41.3772,-82.51,176.09,16:10:00,"Macrophytes, Algae",Lacestuary,420,NA,NA,NA,NA,NA,NA,NA
K011,sediment,41.3772,-82.51,176.09,16:47:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",No,Dark Chocolate,NA,NA,NA
K011,wetland,41.3765,-82.5081,176.11,15:23:00,NA,NA,NA,NA,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",NA,NA,Organic,NA,NA
K011,transition,41.3765,-82.5081,176.11,15:44:00,NA,NA,NA,NA,"Zurich silt loam, 25 to 40 percent slopes (ZuF)",NA,NA,Organic,NA,NA
K011,upland,41.3865,-82.5082,173.26,15:36:00,NA,NA,NA,NA,NA,NA,NA,Organic,4,NA
K012,water,43.5831,-83.688,176.78,20:10:00,"Macrophytes, Algae",NA,142,surrounded by agriculture,NA,NA,NA,NA,NA,NA
K012,sediment,43.5831,-83.688,176.78,20:05:00,NA,NA,NA,surrounded by agriculture,"Aquents, ponded (75)",Yes,Dark Chocolate,NA,NA,NA
K012,wetland,43.583,-83.6882,176.99,19:45:00,NA,NA,NA,surrounded by agriculture,"Aquents, ponded (75)",NA,NA,Organic,NA,NA
K012,transition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K012,upland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K013,water,43.9688,-83.8603,177.19,17:10:00,"Macrophytes, Algae",Lake,540,second filter fell into the lake and did not include it in the returned kit,NA,NA,NA,NA,NA,NA
K013,sediment,43.9688,-83.8603,177.19,18:00:00,NA,NA,NA,NA,Fresh water marsh (Fm),Yes,Black,NA,NA,NA
K013,wetland,43.9687,-83.8619,177.07,16:55:00,NA,NA,NA,NA,Brevort loamy sand (Bn),NA,NA,Organic,NA,NA
K013,transition,43.9687,-83.862,177.2,16:50:00,NA,NA,NA,NA,Brevort loamy sand (Bn),NA,NA,Organic,NA,NA
K013,upland,43.9687,-83.8621,177.58,16:45:00,NA,NA,NA,NA,Brevort loamy sand (Bn),NA,NA,Organic,NA,NA
K014,water,39.6696,-75.4661,0.97,NA,Algae,Tidal River,150,"conductivity= 215 umS/cm, water temps drop drastically in Nota (??); Dissolved Oxygen saturation 135%",NA,NA,NA,NA,NA,NA
K014,sediment,39.6699,-75.4661,-0.01,16:46:00,NA,NA,NA,some sand and organics,Water (WATER),NA,NA,NA,NA,NA
K014,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K014,transition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K014,upland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K015,water,37.4147,-76.7161,0,18:30:00,None,Estuary,75,Water color description: Gray,NA,NA,NA,NA,NA,NA
K015,sediment,37.4147,-76.7161,0,18:40:00,NA,NA,NA,NA,Water (W),No,"Black, Grey",NA,NA,NA
K015,wetland,37.4144,-76.7153,0.67,18:05:00,NA,NA,NA,NA,Bohicket muck (6),NA,NA,Organic,NA,NA
K015,transition,37.4142,-76.715,0.7,19:15:00,NA,NA,NA,NA,Bohicket muck (6),NA,NA,Organic,NA,NA
K015,upland,37.4142,-76.715,0.7,19:05:00,NA,NA,NA,NA,Bohicket muck (6),NA,NA,Organic,6,NA
K016,water,37.3044,-76.5539,0.24,16:35:00,None,Estuary,470,"My apologies, but I don't believe I had included the EyeonWater Color and Conductivity Measurement (32.484 us/cm) on the printed datasheet that went with the cooler.",NA,NA,NA,NA,NA,NA
K016,sediment,37.3044,-76.5539,0.24,16:50:00,NA,NA,NA,Sediment were collected in the same area as the water samples.,"Sulfaquents, frequently flooded (30)",No,Grey,NA,NA,NA
K016,wetland,37.3045,-76.5536,0.37,16:15:00,NA,NA,NA,We did not use the SoilWeb identification tool to determine soil type (apologies);  NAVD88 used for elevation,"Sulfaquents, frequently flooded (30)",NA,NA,Organic,NA,NA
K016,transition,37.3047,-76.553,0.78,15:57:00,NA,NA,NA,We did not use the SoilWeb identification tool to determine soil type (apologies);  NAVD88 used for elevation,Johns sandy loam (10),NA,NA,Mineral,NA,NA
K016,upland,37.3047,-76.5529,1.01,15:48:00,NA,NA,NA,We did not use the SoilWeb identification tool to determine soil type (apologies); NAVD88 used for elevation,Johns sandy loam (10),NA,NA,Organic,5,NA
K017,water,37.5678,-76.8867,0.23,17:49:00,None,"Estuary, Tidal River",395,"The form sent in the container (printed form) from this site incorrectly stated that there were macrophytes in the location of the water/sediment sample and this was incorrect - the correct response is ""none"" (given the choices).",NA,NA,NA,NA,NA,inconsistent
K017,sediment,37.5678,-76.8867,0.23,18:27:00,NA,NA,NA,Sediment sample taken in general areas of water samples.,"Lanexa mucky silty clay loam, 0 to 1 percent slopes, very frequently flooded (15A)",No,Grey,NA,NA,inconsistent
K017,wetland,37.5687,-76.8869,0.42,17:40:00,NA,NA,NA,NA,"Lanexa mucky silty clay loam, 0 to 1 percent slopes, very frequently flooded (15A)",NA,NA,Organic,NA,inconsistent
K017,transition,37.5687,-76.8871,0.36,17:25:00,NA,NA,NA,NA,NA,NA,NA,Mineral,NA,inconsistent
K017,upland,37.5687,-76.8872,0.84,17:03:00,NA,NA,NA,"Did not use SoilWeb for identifying soil types, based on experience of field staff. Soil probe used to take soil temperature","Tarboro sand, 6 to 15 percent slopes (29D)",NA,NA,Mineral,5,inconsistent
K018,water,37.2192,-76.4136,0.18,17:15:00,None,Estuary,200,Water color description: Light brown,NA,NA,NA,NA,NA,NA
K018,sediment,37.2192,-76.4136,0.18,17:30:00,NA,NA,NA,NA,Axis very fine sandy loam (3),No,Light Chocolate,NA,NA,NA
K018,wetland,37.2192,-76.4136,0.18,17:35:00,NA,NA,NA,NA,Axis very fine sandy loam (3),NA,NA,Mineral,NA,NA
K018,transition,37.2197,-76.4133,0.58,17:40:00,NA,NA,NA,NA,Axis very fine sandy loam (3),NA,NA,Organic,NA,NA
K018,upland,37.22,-76.4128,1.1,17:45:00,NA,NA,NA,NA,Dragston fine sandy loam (13),NA,NA,Organic,5,NA
K019,water,46.6533,-92.2266,182.93,18:00:00,None,Lacestuary,500,"Frequent bubble evolution from sediments.  Methanogenesis?  No H2S smell, though, and sediments remain brown at least 4 cm down.",NA,NA,NA,NA,NA,NA
K019,sediment,46.6532,-92.2266,182.93,18:15:00,NA,NA,NA,NA,Water (W),No,"Reddish, Light Chocolate",NA,NA,NA
K019,wetland,46.6534,-92.2267,182.93,18:30:00,NA,NA,NA,NA,Water (W),NA,NA,Mineral,NA,NA
K019,transition,46.6536,-92.2269,183.21,18:30:00,NA,NA,NA,NA,"Udifluvents, loamy, 0 to 2 percent slopes, occasionally flooded (1026A)",NA,NA,Organic,NA,NA
K019,upland,46.6536,-92.2268,184.21,18:30:00,NA,NA,NA,NA,"Udifluvents, loamy, 0 to 2 percent slopes, occasionally flooded (1026A)",NA,NA,Organic,4,NA
K020,water,46.8143,-92.0515,184.83,19:30:00,None,Lake,500,"0.5+ m waves, in lee of pier. No water color. Water clear, but too choppy",NA,NA,NA,NA,NA,NA
K020,sediment,NA,NA,NA,04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K020,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K020,transition,NA,NA,NA,05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K020,upland,46.8145,-92.0515,185.99,19:30:00,NA,NA,NA,Maple and fir trees,"Urban land-Amnicon-Rock outcrop complex, 0 to 18 percent slopes (E25D)",NA,NA,Organic,5,NA
K021,water,41.6056,-83.1526,174.15,14:50:00,"Macrophytes, Algae",Lacestuary,120,NA,NA,NA,NA,NA,NA,NA
K021,sediment,41.6056,-83.1526,174.15,15:00:00,NA,NA,NA,NA,Water (W),No,Dark Chocolate,NA,NA,NA
K021,wetland,41.6054,-83.1533,174.15,14:30:00,NA,NA,NA,NA,Water (W),NA,NA,Organic,NA,NA
K021,transition,41.6053,-83.1536,174.15,14:45:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,NA,NA
K021,upland,41.6053,-83.1537,174.15,14:40:00,NA,NA,NA,"The soil sample was taken on the east side of the dike. On the soil ID app this area was considered ""water"". But the west side of the dike was considered ""Toldeo/Fulton"" soil series and that is what we recorded. The dike was considered upland because there were mature trees established.","Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,11,NA
K022,water,41.4629,-82.9971,174.04,16:30:00,"Macrophytes, Algae",Lacestuary,200,NA,NA,NA,NA,NA,NA,NA
K022,sediment,41.4629,-82.9971,174.04,16:40:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Yes,Dark Chocolate,NA,NA,NA
K022,wetland,41.4626,-82.9973,174.31,04:45:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,NA,NA
K022,transition,41.4623,-82.9974,174.37,06:35:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,NA,NA
K022,upland,41.4621,-82.9974,174.47,18:30:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,11,NA
K023,water,38.8014,-76.7033,0.61,13:00:00,None,Tidal Stream,220,NA,NA,NA,NA,NA,NA,NA
K023,sediment,38.8158,-76.7033,0.6,13:19:00,NA,NA,NA,"Soil very clayey, color not quite grey, not quite brown/red either, dull grey/brown (didnt bring a color book)","Nanticoke and Mannington soils, tidally flooded (NM)",No,Grey,NA,NA,NA
K023,wetland,38.8014,-76.7031,0.58,13:34:00,NA,NA,NA,"Very organic, lots of roots and plant material; iPhone used for elevation","Nanticoke and Mannington soils, 0 to 1 percent slopes, tidally flooded (NMA)",NA,NA,Organic,NA,NA
K023,transition,NA,NA,NA,04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K023,upland,38.7511,-76.7019,10.37,13:49:00,NA,NA,NA,"Seems sandy, lots of ants! Soil is very organic, many roots; iPhone used for elevation",NA,NA,NA,Mineral,4,NA
K024,water,38.2087,-75.8044,0.17,13:44:00,None,Estuary,840,Salinity 12.6ppt,NA,NA,NA,NA,NA,NA
K024,sediment,38.2087,-75.8044,0.17,13:50:00,NA,NA,NA,"lots of root material, sandy","Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Yes,Grey,NA,NA,NA
K024,wetland,38.2088,-75.8044,0.47,14:04:00,NA,NA,NA,"High marsh spartina patens, surrounded by J. roemerianus, P. australis and S. alterniflora. Solid root mat in the first 10-20cm of soil. Very organic, little mineral material. Marsh was flooded to a depth of 1-2 cm.","Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",NA,NA,Organic,NA,NA
K024,transition,38.2105,-75.8056,0.63,14:23:00,NA,NA,NA,"Ghost forest, on the upland/upslope edge of the wetland vegetation creep. Dead pine, S. patens encroaching, other wetland plants coexisting with young pine seedlings. Soil organic, rooty, pine needles everywhere.","Manokin silt loam, 0 to 2 percent slopes (MdA)",NA,NA,Organic,NA,NA
K024,upland,38.2108,-75.8054,0.91,14:38:00,NA,NA,NA,"Very thick organic layer in pine forest, some sand mixed in. Forest is primarily loblolly pine, with some oak and holly","Manokin silt loam, 0 to 2 percent slopes (MdA)",NA,NA,Organic,1,NA
K025,water,38.8873,-76.5621,0.31,19:30:00,None,Tidal Stream,205,"Conductivity was 5581 microsiemens/cm. Conductivity, pH and dissolved O2 were measured with a YSI pro.",NA,NA,NA,NA,NA,NA
K025,sediment,38.8873,-76.5621,0.31,19:45:00,NA,NA,NA,"Collected at 5-10 cm subsurface of water. Taped the sample bag shut because the fine particles clogged the seal seam. Elevation was not taken, but I can get this at a later date, along with more precise latitude and longitude coordinates.","Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",No,"Black, Grey, Reddish, Light Chocolate",NA,NA,NA
K025,wetland,38.8873,-76.5621,0.31,20:05:00,NA,NA,NA,"Soil type is known most precisely at this sampling location because we have taken 1 meter cores from the area, and performed LOI analysis in 5 cm chunks. The top 10 cm have averaged 80% clay and 20% organics, with clay increasing down the core to 100%, with very little organics after 10 cm of depth. Soil moisture not taken, but very moist (not waterlogged because it was low tide)","Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",NA,NA,Organic,NA,NA
K025,transition,38.8873,-76.5621,0.31,20:15:00,NA,NA,NA,NA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",NA,NA,Organic,NA,NA
K025,upland,38.8872,-76.5623,0.76,20:25:00,NA,NA,NA,"The soil temperature is likely inaccurate because I was unable to get my soil thermometer all the way into the soil. It was too compacted. Soil moisture not taken, but the soil was very dry and seemed well drained.","Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",NA,NA,Mineral,4,NA
K026,water,37.7106,-75.6117,2.96,17:30:00,None,Tidal Stream,65,"I initially confused the amber 40 and 125ml vials, and filled the 40mL with tidal creek water. Once I realized the error, I rinsed the 40mL with creek water, shook dry and filled using the syringe and filter as directed. There may be slight contamination of the 40mL. (15mL Falcon tube was not contaminated.)  Water color description: Cannot recall and cannot open observation; will try again later.",NA,NA,NA,NA,NA,inconsistent
K026,sediment,37.7106,-75.6117,2.96,17:30:00,NA,NA,NA,Same location as water sample,"Udorthent and Udipsamment soils, 0 to 30 percent slopes (UpD)",No,Light Chocolate,NA,NA,inconsistent
K026,wetland,37.712,-75.6102,1.2,17:15:00,NA,NA,NA,Spartina alterniflora,"Chincoteague silt loam, 0 to 1 percent slopes, very frequently flooded (ChA)",NA,NA,NA,NA,inconsistent
K026,transition,37.7128,-75.6086,1.29,17:30:00,NA,NA,NA,NA,"Chincoteague silt loam, 0 to 1 percent slopes, very frequently flooded (ChA)",NA,NA,NA,NA,inconsistent
K026,upland,37.7129,-75.6085,1.37,17:45:00,NA,NA,NA,"Corn crop, recently harvested","Munden sandy loam, 0 to 2 percent slopes (MuA)",NA,NA,NA,12,inconsistent
K027,water,37.9914,-75.8238,0.44,22:00:00,None,Tidal Stream,610,NA,NA,NA,NA,NA,NA,NA
K027,sediment,37.9914,-75.8238,0.44,22:00:00,NA,NA,NA,"At the very edge of the channel, water was very high","Honga peat, very frequently flooded, tidal (Ho)",No,Dark Chocolate,NA,NA,NA
K027,wetland,37.9927,-75.8221,0.47,21:00:00,NA,NA,NA,"Thick roots, difficult to extract (used gloved hands); Elevation estimated","Honga peat, very frequently flooded, tidal (Ho)",NA,NA,Organic,NA,NA
K027,transition,37.9923,-75.8218,0.65,21:15:00,NA,NA,NA,Bare soil and some marsh grasses creeping in; elevation estimated,"Othello-Fallsington complex, 0 to 2 percent slopes (OvA)",NA,NA,Organic,NA,NA
K027,upland,37.9917,-75.8216,0.69,21:30:00,NA,NA,NA,Not farmed this year,"Othello-Fallsington complex, 0 to 2 percent slopes (OvA)",NA,NA,Organic,12,NA
K029,water,39.4188,-75.3786,0.37,19:35:00,None,Tidal Stream,85,forel-ule value = 18,NA,NA,NA,NA,NA,NA
K029,sediment,39.4188,-75.3786,0.37,19:50:00,NA,NA,NA,primarily dark brown but later black below,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",Yes,"Black, Dark Chocolate",NA,NA,NA
K029,wetland,39.4188,-75.3786,0.37,19:58:00,NA,NA,NA,phragmites australis; for soils: I just used the NRCS wedsize survey as I had no cell reception for phone app; NAVD88 used for elevation,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",NA,NA,Organic,NA,NA
K029,transition,39.4187,-75.3786,0.86,20:15:00,NA,NA,NA,Phragmites australis (not recorded on the phyiscal metadata sheet); NAVD88 used for elevation,"Berryland and Mullica soils, 0 to 2 percent slopes, occassionally flooded (BEXAS)",NA,NA,Organic,NA,NA
K029,upland,39.4185,-75.3788,1.38,20:25:00,NA,NA,NA,"organic soil horizon, more mineral than transiton/wetland; NAVD88 used for elevation","Berryland and Mullica soils, 0 to 2 percent slopes, occassionally flooded (BEXAS)",NA,NA,Organic,4,NA
K030,water,39.0884,-75.4374,0.81,13:55:00,None,Tidal Stream,247,environmental data from DELSLWQ; water had less turbidity than usual. We were on a coastal flood advisory today. Sampling was at low tide [Sal 14.1 PSU; Trurb 28 FN)/Ntu; temp 20C]; Dissolved Oxygen saturation 37.5%,NA,NA,NA,NA,NA,NA
K030,sediment,39.0884,-75.4374,NA,14:30:00,NA,NA,NA,sediments were collected near creek bank,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Yes,"Black, Grey",NA,NA,NA
K030,wetland,39.0881,-75.4375,0.99,15:45:00,NA,NA,NA,Soil moisture not taken but soil was saturated,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",NA,NA,Organic,NA,NA
K030,transition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K030,upland,39.0885,-75.438,1.13,15:57:00,NA,NA,NA,NA,"Nassawango silt loam, 2 to 5 percent slopes (NsB)",NA,NA,Organic,4,NA
K033,water,47.1041,-88.5153,187.42,17:30:00,Macrophytes,"Tidal River, Lacestuary",605,NA,NA,NA,NA,NA,NA,NA
K033,sediment,47.1041,-88.5153,187.42,17:50:00,NA,NA,NA,little sandy mixture,"Histosols and Aquents, 0 to 1 percent slopes, ponded (27)",No,Light Chocolate,NA,NA,NA
K033,wetland,47.1043,-88.516,187.52,18:21:00,NA,NA,NA,"More of a mixture of organic and mineral soil horizon, very dense root mat","Histosols and Aquents, 0 to 1 percent slopes, ponded (27)",NA,NA,Organic,NA,NA
K033,transition,NA,NA,NA,04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K033,upland,47.1041,-88.517,187.94,18:31:00,NA,NA,NA,NA,"Udipsamments and Udorthents, nearly level (83)",NA,NA,Mineral,4,NA
K034,water,38.7746,-75.9752,-0.12,18:45:00,None,Estuary,300,"water temp 20.4C. Water color description: too clear; could see bottom; visually, light brown",NA,NA,NA,NA,NA,inconsistent
K034,sediment,38.7746,-75.9752,-0.12,18:55:00,NA,NA,NA,"sediment emitting bubbles, sediment colour was dark gray",Water (W),No,Grey,NA,NA,inconsistent
K034,wetland,38.7745,-75.9753,0.62,NA,NA,NA,NA,"dominant vegetation: Spartina cynosuroides; also sparse invasive phragmites; some Leersia oryzoides (rice cut grass);  elsewhere in the marsh (not at sampling site), we also observed likely pockets of native phragmites","Nanticoke and Mannington soils, very frequently flooded, tidal (NM)",NA,NA,Organic,NA,inconsistent
K034,transition,38.7744,-75.9753,0.53,18:20:00,NA,NA,NA,"invasive phragmites, appears to be monoculture","Klej-Galloway complex, 0 to 5 percent slopes (KgB)",NA,NA,Organic,NA,inconsistent
K034,upland,38.7743,-75.9754,1.31,18:15:00,NA,NA,NA,"dominant species: invasive phragmites, red maple, grapevine; bordering crops (currently winter wheat cover)","Klej-Galloway complex, 0 to 5 percent slopes (KgB)",NA,NA,Organic,5,inconsistent
K035,water,38.5922,-76.1307,0.38,10:30:00,None,Estuary,200,"Time entered on metadata hard copy listed LOCAL time (GMT-4); on this form, i've converted time to UTC; conductivity: 17.76 mS/cm
By ""Algae"" above, I took that to mean benthic macroalgae, which was not evident",NA,NA,NA,NA,NA,inconsistent
K035,sediment,38.5922,-76.1307,0.38,10:40:00,NA,NA,NA,NA,"Honga peat, very frequently flooded, tidal (Ho)",Yes,Dark Chocolate,NA,NA,inconsistent
K035,wetland,38.5922,-76.1307,0.38,10:15:00,NA,NA,NA,S. alterniflora dominant; evidence of ponding and erosion. Soil moisture not taken but soil was visibly saturated; Elevation estimated,"Honga peat, very frequently flooded, tidal (Ho)",NA,NA,Organic,NA,inconsistent
K035,transition,38.5922,-76.1302,0.33,10:00:00,NA,NA,NA,"Very narrow transition zone between upland and wetland (i.e., very steep gradient); Sampled in Phragmites, arguably characterized as upper limits of wetland; Elevation estimated","Honga peat, very frequently flooded, tidal (Ho)",NA,NA,Organic,NA,inconsistent
K035,upland,38.5922,-76.13,1.2,09:50:00,NA,NA,NA,"Soil horizon was probably more accurately ""mix of organic and mineral""; I've added soil series here, but was missing on hard copy I sent in. Soil moisture not taken, but soil was very dry; Elevation was estimated; Dominant species were Black Walnut, Eastern Redbud, juniper, invasive privet","Mattapex silt loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain (MtcB)",NA,NA,Mineral,5,inconsistent
K036,water,39.0412,-76.2218,0.06,00:00:00,None,Estuary,300,conductivity 10.58 mS/cm; temperature 17.0 C Water color description: too clear; brownish,NA,NA,NA,NA,NA,NA
K036,sediment,39.0412,-76.2218,0.06,00:10:00,NA,NA,NA,NA,Westbrook peat (We),Yes,Dark Chocolate,NA,NA,NA
K036,wetland,39.0385,-76.2239,0.39,22:45:00,NA,NA,NA,"dominant: Schoenoplectus, also some Iva
",Westbrook peat (We),NA,NA,Organic,NA,NA
K036,transition,39.0381,-76.2242,0.39,23:00:00,NA,NA,NA,invasive phragmites dominant,"Othello silt loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain (Oh)",NA,NA,Organic,NA,NA
K036,upland,39.0379,-76.2244,0.65,23:10:00,NA,NA,NA,"dominant vegetation: black gum, sweet gum, ilex opaca, willow oak, understory royal ferns","Othello silt loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain (Oh)",NA,NA,Organic,5,NA
K037,water,37.5569,-76.9731,0.23,18:00:00,None,NA,305,NA,NA,NA,NA,NA,NA,NA
K037,sediment,37.5569,-76.9731,0.23,18:00:00,NA,NA,NA,"roots and organic matter visible in sediment, ~1m water over sediment when sampling","Mattan muck, 0 to 1 percent slopes, frequently flooded (22A)",No,Dark Chocolate,NA,NA,NA
K037,wetland,37.5569,-76.9731,0.23,18:00:00,NA,NA,NA,NA,"Mattan muck, 0 to 1 percent slopes, frequently flooded (22A)",NA,NA,Organic,NA,NA
K037,transition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K037,upland,NA,NA,NA,05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K038,water,37.3264,-77.2078,0.41,21:00:00,None,Tidal Stream,322,NA,NA,NA,NA,NA,NA,NA
